"name","link","description","id","lookup"
"T cell","http://purl.obolibrary.org/obo/CL_0000084","T cell",NA,"lk_base_pop_name"
"Tc1 CD8+ T cell","http://purl.obolibrary.org/obo/CL_0000917","Tc1 cell",NA,"lk_base_pop_name"
"Tc17 CD8+ T cell","http://purl.obolibrary.org/obo/CL_0002128","Tc17 cell",NA,"lk_base_pop_name"
"Th1 CD4+ T cell","http://purl.obolibrary.org/obo/CL_0000545","T-helper 1 cell",NA,"lk_base_pop_name"
"Th17 CD4+ T cell","http://purl.obolibrary.org/obo/CL_0000899","T-helper 17 cell",NA,"lk_base_pop_name"
"Total Cells","NA","NA",NA,"lk_base_pop_name"
"transitional B cell","http://purl.obolibrary.org/obo/CL_0000818","transitional stage B cell",NA,"lk_base_pop_name"
"Treg","http://purl.obolibrary.org/obo/CL_0000792","CD4-positive, CD25+, alpha-beta regulatory T cell",NA,"lk_base_pop_name"
"cells","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C48938&ns=NCI_Thesaurus","cell count",NA,"lk_cell_pop_statistic_unit"
"cells/ul","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67242&ns=NCI_Thesaurus","A unit of cell concentration expressed as a number of cells per unit volume equal to one microliter.",NA,"lk_cell_pop_statistic_unit"
"MFI at 90th percentile","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C96687&ns=NCI_Thesaurus","Mean Fluorescence Intensity at 90th Percentile.  MFI : A unit of measure equal to the geometric mean fluorescence intensity of a log-normal distribution of fluorescence signals.",NA,"lk_cell_pop_statistic_unit"
"Not Specified","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C38046&ns=NCI_Thesaurus","No value provided. Not stated explicitly or in detail.",NA,"lk_cell_pop_statistic_unit"
"percentage","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C25613&ns=NCI_Thesaurus","A fraction or ratio with 100 understood as the denominator. e.g. percentage of a cell population of interest within a parent population",NA,"lk_cell_pop_statistic_unit"
"stim/unstim fold change","","Fold change comparing stimulated vs unstimulated sample",NA,"lk_cell_pop_statistic_unit"
"activated CCR4+ Treg ; CD3+, CD4+, CD127lo, CD25+, CCR4+, HLA-DR+","http://purl.obolibrary.org/obo/CL_0001048","activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human",NA,"lk_cell_population"
"activated CD4+ T cell ; CD3+, CD4+, CD8-, CD38+, HLA-DR+","http://purl.obolibrary.org/obo/CL_0001043","activated CD4-positive, alpha-beta T cell",NA,"lk_cell_population"
"activated CD8+ T cell ; CD3+, CD4-, CD8+, CD38+, HLA-DR+","http://purl.obolibrary.org/obo/CL_0001049","activated CD8-positive, alpha-beta T cell, human",NA,"lk_cell_population"
"B cell ; CD3-, CD19+ , CD20+","http://purl.obolibrary.org/obo/CL_0000236","B cell",NA,"lk_cell_population"
"BB cell ; CD3+, CD19+ , CD20+","","BB cell",NA,"lk_cell_population"
"CCR4+ Treg ; CD3+, CD4+, CD127lo, CD25+, CCR4+","http://purl.obolibrary.org/obo/CL_0001045","naive CCR4-positive regulatory T cell",NA,"lk_cell_population"
"CD16+ CD56+  NK cell ; CD3-, Lin-, CD14-, HLA-DR-, CD16+, CD56+","http://purl.obolibrary.org/obo/CL_0000939","CD16-positive, CD56-dim natural killer cell",NA,"lk_cell_population"
"CD16+ monocyte ; Lin-, CD14+, CD16+","http://purl.obolibrary.org/obo/CL_0002397","CD14-positive, CD16-positive monocyte",NA,"lk_cell_population"
"CD16- CD56bright NK cell ; CD3-, Lin-, CD14-, HLA-DR-, CD16-, CD56++","http://purl.obolibrary.org/obo/CL_0000938","CD16-negative, CD56-bright natural killer cell",NA,"lk_cell_population"
"CD16- monocyte ; Lin-, CD14+, CD16-","http://purl.obolibrary.org/obo/CL_0002057","CD14-positive, CD16-negative classical monocyte",NA,"lk_cell_population"
"CD4+ T cell ; CD3+, CD4+","http://purl.obolibrary.org/obo/CL_0000624","CD4-positive, alpha-beta T cell",NA,"lk_cell_population"
"CD8+ T cell ; CD3+, CD8+","http://purl.obolibrary.org/obo/CL_0000625","CD8-positive, alpha-beta T cell",NA,"lk_cell_population"
"central memory CD4+ T cell ; CD3+, CD4+, CD8-, CCR7+, CD45RA-","http://purl.obolibrary.org/obo/CL_0000904","central memory CD4-positive, alpha-beta T cell",NA,"lk_cell_population"
"central memory CD8+ T cell ; CD3+, CD4-, CD8+, CCR7+, CD45RA-","http://purl.obolibrary.org/obo/CL_0000907","central memory CD8-positive, alpha-beta T cell",NA,"lk_cell_population"
"dendritic cell ; Lin-, CD14-, CD16-, CD56-, HLA-DR+(?)","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell",NA,"lk_cell_population"
"effector CD4+ T cell ; CD3+, CD4+, CD8-, CCR7-, CD45RA+","http://purl.obolibrary.org/obo/CL_0001044","effector CD4-positive, alpha-beta T cell",NA,"lk_cell_population"
"effector CD8+ T cell ; CD3+, CD4-, CD8+, CCR7-, CD45RA+","http://purl.obolibrary.org/obo/CL_0001050","effector CD8-positive, alpha-beta T cell",NA,"lk_cell_population"
"effector memory CD4+ T cell ; CD3+, CD4+, CD8-, CCR7-, CD45RA-","http://purl.obolibrary.org/obo/CL_0000905","effector memory CD4-positive, alpha-beta T cell",NA,"lk_cell_population"
"effector memory CD8+ T cell ; CD3+, CD4-, CD8+, CCR7-, CD45RA-","http://purl.obolibrary.org/obo/CL_0000913","effector memory CD8-positive, alpha-beta T cell",NA,"lk_cell_population"
"IgD+ memory B cell ; CD3-, CD19+, CD20+, CD27+, IgD+","http://purl.obolibrary.org/obo/CL_0000970","unswitched memory B cell",NA,"lk_cell_population"
"IgD- memory B cell ; CD3-, CD19+, CD20+, CD27+, IgD-","http://purl.obolibrary.org/obo/CL_0001053","IgD-negative memory B cell",NA,"lk_cell_population"
"Live/Dead ; Living cells gated from dead cells","http://purl.obolibrary.org/obo/PATO_0000169","Viable cells",NA,"lk_cell_population"
"memory B cell ; CD3-, CD19+, CD20+, CD27+","http://purl.obolibrary.org/obo/CL_0000787","memory B cell",NA,"lk_cell_population"
"memory CCR4+ Treg ; CD3+, CD4+, CD127lo, CD25+, CCR4+, CD45RO+","http://purl.obolibrary.org/obo/CL_0001046","memory CCR4-positive regulatory T cell",NA,"lk_cell_population"
"monocyte ; Lin-, CD14+","http://purl.obolibrary.org/obo/CL_0000576","monocyte",NA,"lk_cell_population"
"myeloid dendritic cell ; Lin-, CD14-, CD16-, CD56-, HLA-DR+, CD11c+, CD123-","http://purl.obolibrary.org/obo/CL_0000782","myeloid dendritic cell",NA,"lk_cell_population"
"naive B cell ; CD3-, CD19+, CD20+, CD27-, IgD+","http://purl.obolibrary.org/obo/CL_0000788","naive B cell",NA,"lk_cell_population"
"naive CCR4+ Treg ; CD3+, CD4+, CD127lo, CD25+, CCR4+, CD45RO-","http://purl.obolibrary.org/obo/CL_0001045","naive CCR4-positive regulatory T cell",NA,"lk_cell_population"
"naive CD4+ T cell ; CD3+, CD4+, CD8-, CCR7+, CD45RA+","http://purl.obolibrary.org/obo/CL_0000895","naive thymus-derived CD4-positive, alpha-beta T cell",NA,"lk_cell_population"
"naive CD8+ T cell ; CD3+, CD4-, CD8+, CCR7+, CD45RA+","http://purl.obolibrary.org/obo/CL_0000900","naive thymus-derived CD8-positive, alpha-beta T cell",NA,"lk_cell_population"
"NK cell ; CD3-, CD56+","http://purl.obolibrary.org/obo/CL_0000623","natural killer cell",NA,"lk_cell_population"
"NK T cell ; CD3+, CD56+, CD14-, CD33-","http://purl.obolibrary.org/obo/CL_0000814","mature NK T cell",NA,"lk_cell_population"
"non-Tc1/Tc17 CD8+ T cell ; CD3+, CD4-, CD8+, CXCR3-, CCR6-","http://purl.obolibrary.org/obo/CL_0001052;http://purl.obolibrary.org/obo/CL_0000918 ","Tc2 cell",NA,"lk_cell_population"
"non-Th1/Th17  CD4+ T cell ; CD3+, CD4+, CD8-, CXCR3-, CCR6-","http://purl.obolibrary.org/obo/CL_0000546","T-helper 2 cell",NA,"lk_cell_population"
"PBMC ; A leukocyte with a single non-segmented nucleus in the mature form found in the circulatory pool of blood.","http://purl.obolibrary.org/obo/CL_2000001","peripheral blood mononuclear cell",NA,"lk_cell_population"
"plasmablast ; CD3-, CD19+, CD20-, CD27hi, CD38hi","http://purl.obolibrary.org/obo/CL_0000980","plasmablast",NA,"lk_cell_population"
"plasmacytoid dendritic cell ; Lin-, CD14-, CD16-, CD56-, HLA-DR+, CD11c-, CD123+"," http://purl.obolibrary.org/obo/CL_0000784","plasmacytoid dendritic cell",NA,"lk_cell_population"
"T cell ; CD3+","http://purl.obolibrary.org/obo/CL_0000084","T cell",NA,"lk_cell_population"
"Tc1 CD8+ T cell ; CD3+, CD4-, CD8+, CXCR3+, CCR6-","http://purl.obolibrary.org/obo/CL_0000917","Tc1 cell",NA,"lk_cell_population"
"Tc17 CD8+ T cell ; CD3+, CD4-, CD8+, CXCR3-, CCR6+","http://purl.obolibrary.org/obo/CL_0002128","Tc17 cell",NA,"lk_cell_population"
"Th1 CD4+ T cell ; CD3+, CD4+, CD8-, CXCR3+, CCR6-","http://purl.obolibrary.org/obo/CL_0000545","T-helper 1 cell",NA,"lk_cell_population"
"Th17 CD4+ T cell ; CD3+, CD4+, CD8-, CXCR3-, CCR6+","http://purl.obolibrary.org/obo/CL_0000899","T-helper 17 cell",NA,"lk_cell_population"
"Total Cells ; All cells in a sample","NA","NA",NA,"lk_cell_population"
"transitional B cell ; CD3-, CD19+, CD20+, CD24hi, CD38hi","http://purl.obolibrary.org/obo/CL_0000818","transitional stage B cell",NA,"lk_cell_population"
"Treg ; CD3+, CD4+, CD127lo, CD25+","http://purl.obolibrary.org/obo/CL_0000792","CD4-positive, CD25+, alpha-beta regulatory T cell",NA,"lk_cell_population"
"Concomitant Medication","http://www.semanticweb.org/ontologies/2012/0/Ontology1325521724189.owl#Concomitant_medication","Compound Role is Concomitant Medication.","","lk_compound_role"
"Intervention","http://www.ebi.ac.uk/efo/EFO_0002571","Compound Role is Intervention.","","lk_compound_role"
"Other","","Compound Role is Other.","","lk_compound_role"
"Substance Use","http://purl.bioontology.org/ontology/MEDDRA/10070964","Compound Role is Substance Use.","","lk_compound_role"
"HAU","http://en.wikipedia.org/wiki/Virus_quantification","hemagglutination units",NA,"lk_concentration_unit"
"M","http://purl.obolibrary.org/obo/UO_0000062","molar",NA,"lk_concentration_unit"
"mg/ml","http://purl.bioontology.org/ontology/SNOMEDCT/258798001","microgram per milliliter",NA,"lk_concentration_unit"
"mM","http://purl.obolibrary.org/obo/UO_0000063","millimolar",NA,"lk_concentration_unit"
"MOI","http://en.wikipedia.org/wiki/Multiplicity_of_infection","multiplicity of infection",NA,"lk_concentration_unit"
"ng/ml","http://purl.bioontology.org/ontology/SNOMEDCT/258806002","nanogram per milliliter",NA,"lk_concentration_unit"
"ng/nl","","nanogram per nanoliter",NA,"lk_concentration_unit"
"ng/ul","http://purl.bioontology.org/ontology/SNOMEDCT/272082007","nanogram per microliter",NA,"lk_concentration_unit"
"nM","http://purl.obolibrary.org/obo/UO_0000065","nanomolar",NA,"lk_concentration_unit"
"Not Specified","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C38046&ns=NCI_Thesaurus","No value provided. Not stated explicitly or in detail.",NA,"lk_concentration_unit"
"pg/ml","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67327&ns=NCI_Thesaurus","picogram per milliliter",NA,"lk_concentration_unit"
"pg/nl","","picogram per nanoliter",NA,"lk_concentration_unit"
"pg/ul","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67306&ns=NCI_Thesaurus","picogram per microliter",NA,"lk_concentration_unit"
"pM","http://purl.obolibrary.org/obo/UO_0000066","picomolar",NA,"lk_concentration_unit"
"TCID50","http://en.wikipedia.org/wiki/Virus_quantification","mean tissue culture infective dose",NA,"lk_concentration_unit"
"ug/ml","http://purl.bioontology.org/ontology/SNOMEDCT/258801007","microgram per milliliter",NA,"lk_concentration_unit"
"ug/ul","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C42576&ns=NCI_Thesaurus","microgram per microliter",NA,"lk_concentration_unit"
"uM","http://purl.bioontology.org/ontology/SNOMEDCT/258814008","micromolar",NA,"lk_concentration_unit"
"units/ml","http://purl.bioontology.org/ontology/SNOMEDCT/259002007","Enzyme Unit per Milliliter. Unit of catalytic activity concentration defined as activity equal to one enzyme unit per one milliliter of system volume.",NA,"lk_concentration_unit"
"Exclusion","https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C25370&ns=NCI_Thesaurus","Exclusion Criterion used to evaluate whether a subject is a candidate for exclusion in a study.","","lk_criterion_category"
"Inclusion","https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=15.07d&code=C25532&ns=NCI_Thesaurus&key=810018085&b=1&n=null","Inclusion Criterion used to evaluate whether a subject is a candidate for inclusion in a study.","","lk_criterion_category"
"Chickenpox ; 8659","http://www.disease-ontology.org/?id=DOID:8659","A viral infectious disease that results_in infection located_in skin, has_material_basis_in Human herpesvirus 3, which is transmitted_by direct contact with secretions from the rash, or transmitted_by droplet spread of respiratory secretions. The infection has_symptom anorexia, has_symptom myalgia, has_symptom nausea, has_symptom fever, has_symptom headache, has_symptom sore throat, and has_symptom blisters.",NA,"lk_disease"
"Dengue hemorrhagic fever ; 12206","http://www.disease-ontology.org/?id=DOID:12206","A dengue disease that occurs when a person experiences a second infection with a heterologous Dengue virus serotype, which is transmitted_by Aedes mosquito bite. The infection has_symptom hemorrhagic lesions of the skin, has_symptom thrombocytopenia, has_symptom reduction in the fluid part of the blood, and has_symptom high fever.",NA,"lk_disease"
"Lyme disease ; 11729","http://www.disease-ontology.org/?id=DOID:11729","A primary bacterial infectious disease that results_in infection, has_material_basis_in Borrelia burgdorferi, which is transmitted_by blacklegged tick (Ixodes scapularis) or transmitted_by western blacklegged tick (Ixodes pacificus). The infection has_symptom fever, has_symptom headache, has_symptom fatigue, and has_symptom skin rash called erythema migrans. If left untreated, infection can spread to joints, the heart, and the nervous system.",NA,"lk_disease"
"Tuberculosis ; 399","http://www.disease-ontology.org/?id=DOID:399","A primary bacterial infectious disease that is located_in lungs, located_in lymph nodes, located_in pericardium, located_in brain, located_in pleura or located_in gastrointestinal tract, has_material_basis_in Mycobacterium tuberculosis, which is transmitted_by droplets released into the air when an infected person coughs or sneezes.",NA,"lk_disease"
"West Nile fever ; 2366","http://www.disease-ontology.org/?id=DOID:2366","A viral infectious disease that results_in infection, has_material_basis_in West Nile virus, which is transmitted_by Culex and transmitted_by Aedes mosquitoes. The infection has_symptom fever, has_symptom sore throat, has_symptom headache, has_symptom body ache, has_symptom nausea, has_symptom maculopapular rash and has_symptom vomiting.",NA,"lk_disease"
"Acute/Recent onset","https://dst.liai.org/BcellDisc.html","A short-term infection or disease characterized by a dramatic onset and rapid recovery. Primary infections fall under this category.",NA,"lk_disease_stage"
"Chronic","https://dst.liai.org/BcellDisc.html","A long-term infection or illness and partial remission.",NA,"lk_disease_stage"
"Other","https://dst.liai.org/BcellDisc.html","Any disease stage that cannot be classified under the selections above will be classified under ""other."" Household contacts will be recorded as ""other"".",NA,"lk_disease_stage"
"Post","https://dst.liai.org/BcellDisc.html","Recovery from an illness, including latent (potentially existing but not presently evident or realized) and remission (a period during which symptoms of disease disappear [complete remission]). Note that partial remission will be recorded as ""chronic"".",NA,"lk_disease_stage"
"Unknown","https://dst.liai.org/BcellDisc.html","Used when the disease stage is not clearly specified or known.",NA,"lk_disease_stage"
"Hispanic or Latino","http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm","A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, ""Spanish origin,"" can be used in addition to ""Hispanic or Latino.""","","lk_ethnicity"
"Not Hispanic or Latino","http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm","A person not of Hispanic or Latino origin.","","lk_ethnicity"
"Not Specified","http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm","Ethnicity is not specified or not received. If no Ethnicity value is received, then this is the system default value.","","lk_ethnicity"
"Other","http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm","A person having an Ethnicity that is some Other value not in CV Terms.","","lk_ethnicity"
"1D Gel","http://purl.obolibrary.org/obo/OBI_0001121","One dimensional gels are used to separate an analyte using one physical feature of the analyte.","","lk_exp_measurement_tech"
"2D Gel","http://purl.obolibrary.org/obo/OBI_0001121","Two dimensional gels are used to separate an analyte using two physical features of the analyte.","","lk_exp_measurement_tech"
"Array","http://purl.obolibrary.org/obo/OBI_0400147 ; http://purl.obolibrary.org/obo/OBI_0001204 ; http://purl.obolibrary.org/obo/OBI_0001307 ;  http://purl.obolibrary.org/obo/OBI_0400149","Arrays (including microarrays) are a set of probes immobilized on a surface. The probes can be oligonucleotides, cDNAs, antibodies and other molecules that recognize a target. Microarrays can be constructed by several methods including (but not limited to in situ oligo synthesis (e.g. Affymetrix), cDNA spotting, bead arrays (e.g. Illumina) and antibody spotting. The position and identity of probes are provided by the manufacturer. The probe identifiers and their target are referred to as annotation or translation of probe identifiers to bioinformatic identifiers. Microarrays can be used for gene expression (mRNA transcript quantification), genotyping, cytokine quantification, etc. Microarrays for gene expression fall into two general classes- single channel and dual channel. The channel refers to the wavelength scanned for fluorescent signals. Affymetrix microarrays are obligatory single channel. There are a host of commercial and non-commercial microarray meanufacturers that use two c","","lk_exp_measurement_tech"
"Cell Culture","http://purl.obolibrary.org/obo/OBI_0001876","A cell culture includes the cells in culture, as well as the media and all additives in which the cells are being grown or in which they are stored.","","lk_exp_measurement_tech"
"Circular Dichroism","http://en.wikipedia.org/wiki/Circular_Dichroism","Circular Dichroism is a form of spectroscopy used to determine the optical isomerism and secondary structure of molecules.","","lk_exp_measurement_tech"
"CyTOF","http://purl.obolibrary.org/obo/OBI_0002115","Cytometry Time Of Flight CyTOF (DVS Sciences) or Mass cytometry, or , is a variation of flow cytometry in which antibodies are labeled with heavy metal ion tags rather than fluorochromes. Readout is by time-of-flight mass spectrometry.","","lk_exp_measurement_tech"
"Cytometric Bead Array Assay","purl.obolibrary.org/obo/OBI_0000920","An analyte assay in which a series of beads coated with antibodies specific for different analytes and marked with discrete fluorescent labels are used to simultaneously capture and quantitate soluble analytes.","","lk_exp_measurement_tech"
"DNA methylation profiling assay","http://purl.obolibrary.org/obo/OBI_0000634","An assay which aims to provide information about state of methylation of DNA molecules using genomic DNA collected from a material entity using a range of techniques and instrument such as DNA sequencers and often relying on treatment with bisulfites to ensure cytosine conversion.","","lk_exp_measurement_tech"
"DNA microarray","http://purl.obolibrary.org/obo/OBI_0400148","Microarray that is used as a physical 2D immobilisation matrix.","","lk_exp_measurement_tech"
"ELISA","http://purl.obolibrary.org/obo/OBI_0000661","Enzyme-Linked ImmunoSorbant Assay. Quantification of a molecule (e.g cytokine) by an antibody immobilization strategy.","","lk_exp_measurement_tech"
"ELISPOT","http://purl.obolibrary.org/obo/OBI_0600031","Enzyme-linked ImmunoSPOT. A variant of ELISA with increased resolution that allows quantifying the number of cells in a population that release a molecule (e.g. cytokine).","","lk_exp_measurement_tech"
"EMSA","http://purl.obolibrary.org/obo/OBI_0001671","Electrophoretic mobility shift assay  is an assay which aims to provide information about Protein-DNA or Protein-RNA interaction and which used gel electrophoresis and relies on the fact the molecular interactions will cause the heterodimer to be retarded on the gel when compared to controls corresponding to protein extract alone and protein extract + neutral nucleic acid.","","lk_exp_measurement_tech"
"Exome Sequencing","http://purl.obolibrary.org/obo/OBI_0002118","Technique for sequencing all the protein-coding genes in a genome (known as the exome). Sequencing process which uses deoxyribonucleic acid as input and results in a the creation of DNA sequence information artifact.","","lk_exp_measurement_tech"
"Flow Cytometry","http://purl.obolibrary.org/obo/OBI_0000916","Fluorescence Activated Cell Sorting","","lk_exp_measurement_tech"
"Hemagglutination Inhibition","http://purl.obolibrary.org/obo/OBI_0000875","Quantitate serum antibody to a specific antigen by blocking agglutination of cells.","","lk_exp_measurement_tech"
"HLA Typing","http://purl.obolibrary.org/obo/OBI_0002122","Human Leukocyte Antigen typing.","","lk_exp_measurement_tech"
"HPLC","http://purl.obolibrary.org/obo/OBI_0002116","High Performace Liquid Chromotography is used to separate components of a mixture by using a variety of chemical interactions between the substance being analyzed (analyte) and the chromatography column.","","lk_exp_measurement_tech"
"Immunoblot","http://purl.obolibrary.org/obo/OBI_0000854","a western blot analysis is an assay which allows detection of protein present in a extract resolved on polyacrylamide gel by electrophoresis, transfered to a membrane made of nitrocellulose or polyvinylidene difluoride and immobilized using formaldehyde based cross linking.","","lk_exp_measurement_tech"
"Immunoprecipitation","http://purl.obolibrary.org/obo/OBI_0001700","An assay with the objective to determine presence of an analyte by mixing a solution of antigen and antibody and separating out bound antigen:antibody complexes using immunoprecipitation.","","lk_exp_measurement_tech"
"in situ Hybridization","http://en.wikipedia.org/wiki/In_situ_hybridization","Uses a labelled complementary DNA or RNA strand (i.e., probe) to localize a specific DNA or RNA sequence in a portion or section of tissue (in situ), or the entire tissue (whole mount ISH), in cells and in circulating tumor cells (CTCs).","","lk_exp_measurement_tech"
"KIR Typing","http://purl.obolibrary.org/obo/OBI_000212","Killer cell immunoglobulin-like receptors.","","lk_exp_measurement_tech"
"Line Probe Assay","http://purl.obolibrary.org/obo/OBI_0000892","PCR amplification of a genomic region is performed using biotinylated primers. Following amplification, labelled PCR products are hybridized with specific oligonucleotide probes immobilized on a strip.","","lk_exp_measurement_tech"
"Liquid Chromatography","http://purl.obolibrary.org/obo/OBI_0001057","Chromatography is the collective term for a family of laboratory techniques for the separation of mixtures. It involves passing a mixture which contains the analyte through a stationary phase, which separates it from other molecules in the mixture and allows it to be isolated.","","lk_exp_measurement_tech"
"Luminex xMAP","http://purl.obolibrary.org/obo/OBI_0000920","Microsphere based multiplexing system. Microspheres are color coded and linked to a detector or capture reagent (e.g. antibody, oligonucleotides, peptides, or receptors).","","lk_exp_measurement_tech"
"Mass Spectrometry","http://purl.obolibrary.org/obo/OBI_0000470","Mass spectrometry is an analytical technique used to measure the mass-to-charge ratio of ions.","","lk_exp_measurement_tech"
"Meso Scale Discovery ECL","http://en.wikipedia.org/wiki/Electrochemiluminescence","MSD Electrochemiluminescence (ECL) detection uses labels that emit light when electrochemically stimulated.","","lk_exp_measurement_tech"
"microRNA profiling assay","http://purl.obolibrary.org/obo/OBI_0001926","A transcription profiling assay in which aims to quantify the microRNA species within a biological sample.","","lk_exp_measurement_tech"
"Microscopy","http://purl.obolibrary.org/obo/OBI_0002119","Visualization of very small entities from cellular to sub-cellular and molecular resolution depending on technique.","","lk_exp_measurement_tech"
"Mixed Lymphocyte Reaction","http://purl.obolibrary.org/obo/OBI_0002120","Mixed lymphocyte reaction test is a measure of histocompatibility at the HLA locus. Peripheral blood lymphocytes from two individuals are mixed together in tissue culture for several days; lymphocytes from incompatible individuals will stimulate each other to proliferate significantly (e.g. measured by tritiated thymidine uptake) whereas those from compatible individuals will not; in the one\-way MLC test, the lymphocytes from one of the individuals are inactivated thereby allowing only the untreated remaining population of cells to proliferate in response to foreign histocompatibility antigens.","","lk_exp_measurement_tech"
"Molecular Cloning","http://purl.obolibrary.org/obo/OBI_0600064","Molecular cloning refers to the procedure isolating a DNA sequence of interest and obtaining multiple copies of it in an organism.","","lk_exp_measurement_tech"
"Nanostring","http://www.nanostring.com/applications/technology","Nanostring technology uses molecular ""barcodes"" and single molecule imaging to detect and count hundreds of unique transcripts in a single reaction.","","lk_exp_measurement_tech"
"Neutralizing Antibody Titer Assay","purl.obolibrary.org/obo/OBI_0000872","A quantitative assay where different dilutions of serum are mixed with virus and used to infect cells. At the lower dilutions, antibodies will block infection, but at higher dilutions, there will be too few antibodies to have an effect. The simple process of dilution provides a way to compare the virus- neutralizing abilities of different sera. The neutralization titer is expressed as the reciprocal of the highest dilution at which virus infection is blocked.","","lk_exp_measurement_tech"
"NMR","http://purl.obolibrary.org/obo/OBI_0000623","Nuclear Magnetic Resonance spectroscopy is a technique for determining the structure of organic compounds.","","lk_exp_measurement_tech"
"Northern Blot","http://purl.obolibrary.org/obo/OBI_0000860","Northern blots are a derivative of Southern blots where RNA that has been size fractionated (often by 1-D gel electrophoresis) is immobilized on a substrate (e.g. a charged nylon membrane). The blot is(are) hybridized with a labeled probe(s). The position on the blot and the intensity of the label's signal can be used to estimate RNA size and concentration, respectively.","","lk_exp_measurement_tech"
"Other","","Other Experiment Measurement Technique not listed.","","lk_exp_measurement_tech"
"PCR","http://purl.obolibrary.org/obo/OBI_0000415","Polymerase Chain Reaction is a technique to amplify a DNA template.","","lk_exp_measurement_tech"
"Protein microarray","http://purl.obolibrary.org/obo/OBI_0400149","Microarray, usually a piece of glass, on which different molecules of protein have been affixed at separate locations in an ordered manner. These are used to identify protein-protein or protein-small molecule interactions.","","lk_exp_measurement_tech"
"Q-PCR","http://purl.obolibrary.org/obo/OBI_0000415","Quantitative Polymerase Chain Reaction is used to measure the gene expression of transcripts by comparing the number of cycles in a sample needed to reach a certain threshold value with the known quantities of a transcript needed to reach the same threshold.","","lk_exp_measurement_tech"
"Real time polymerase chain reaction assay","http://purl.obolibrary.org/obo/OBI_0000893","A laboratory technique based on the PCR, which is used to amplify and simultaneously quantify a specific DNA molecule based on the use of complementary probes/primers. It enables both detection and quantification (as absolute number of copies or relative amount when normalized to DNA input or additional normalizing genes) of one or more specific sequences in a DNA sample.","","lk_exp_measurement_tech"
"RNA sequencing","http://purl.obolibrary.org/obo/OBI_0001177;http://purl.obolibrary.org/obo/OBI_0001271","Sequencing process which uses ribonucleic acid as input and results in a the creation of RNA sequence information artifact.","","lk_exp_measurement_tech"
"Rnase Protection Assay","http://en.wikipedia.org/wiki/RNase_protection_assay","A laboratory technique to identify individual RNA molecules in a heterogeneous RNA sample extracted from cells.","","lk_exp_measurement_tech"
"Sequencing","http://purl.obolibrary.org/obo/OBI_0600047","Sequencing is used to discover new sequence variants and to genotype a sample for known variants.","","lk_exp_measurement_tech"
"SNP microarray","http://purl.obolibrary.org/obo/OBI_0001204","DNA microarray used to detect polymorphisms in DNA samples.","","lk_exp_measurement_tech"
"Southern Blot","http://purl.obolibrary.org/obo/OBI_0000892","A Southern blot is a method of capturing DNA molecules that have been seperated by agarose gel electrophoresis for subsequent analysis.","","lk_exp_measurement_tech"
"Surface Plasmon Resonance","http://purl.obolibrary.org/obo/OBI_0000923","An assay that uses the detection of electromagnetic waves in a surface to detect material entities adsorbed to the surface, which changes the local index of refraction.","","lk_exp_measurement_tech"
"TCID50","http://en.wikipedia.org/wiki/Virus_Quantification","50 percent Tissue Culture Infective Dose, (TCID50) is the measure of infectious virus titer. This endpoint dilution assay quantifies the amount of virus required to kill 50% of infected hosts or to produce a cytopathic effect in 50% of inoculated tissue culture cells.","","lk_exp_measurement_tech"
"Transcription profiling assay","http://purl.obolibrary.org/obo/OBI_0000424","An assay which aims to provide information about gene expression and transcription activity using ribonucleic acids collected from a material entity using a range of techniques and instrument such as DNA sequencers, DNA microarrays, Northern Blot","","lk_exp_measurement_tech"
"Transcription profiling by array","http://purl.obolibrary.org/obo/OBI_0001463","An assay in which the transcriptome of a biological sample is analyzed using array technology.","","lk_exp_measurement_tech"
